N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,156.473588,408.578191,274.370326
2048.000000,408.879655,474.239436,302.550485
4096.000000,426.000128,512.510076,305.943623
8192.000000,430.223405,522.253197,307.634964
16384.000000,435.000320,529.288752,313.036893
